SRA_id,Condition,Replicate,Factor,Genome,Cell_type
SRR13429087,uninduced,1,myc,hg38,u2os
SRR13429090,uninduced,2,myc,hg38,u2os
SRR13429093,induced,1,myc,hg38,u2os
SRR13429096,induced,2,myc,hg38,u2os

