SRA_id,Condition,Replicate,Factor,Genome,Cell_type,Time_point
SRR7132955,uninduced_0h,1,ascl1,mm10,eb,0
SRR7132957,induced_12h,1,ascl1,mm10,eb,12
SRR7132958,induced_12h,2,ascl1,mm10,eb,12
SRR7132963,induced_48h,1,ascl1,mm10,eb,48
SRR7132964,induced_48h,2,ascl1,mm10,eb,48
